FID,mslink,zona,tp_umidade,distr_umid,temperatur,desc_compl,the_geom
ClimadoBrasil_5000.1,2663,Massa d'água,0,0,0,"Equatorial, quente - média > 18° C em todos os meses, úmido 3 meses secos","MULTIPOLYGON (((-44.9878 -1.3565999999999998, -44.98629999999999 -1.3034, -44.8942 -1.3074999999999999, -44.885999999999996 -1.3305999999999998, -44.8803 -1.3447, -44.870099999999994 -1.3583, -44.86429999999999 -1.3659999999999999, -44.8645 -1.367, -44.8735 -1.373, -44.92459999999999 -1.3765999999999998, -44.974399999999996 -1.4231999999999998, -44.9768 -1.4237999999999997, -45.00149999999999 -1.4294999999999998, -45.017799999999994 -1.4141, -45.02519999999999 -1.3756, -45.046699999999994 -1.3666999999999998, -45.046299999999995 -1.3517, -45.0239 -1.3436, -44.9929 -1.3548, -44.9878 -1.3565999999999998)))"
ClimadoBrasil_5000.2,2915,ilha,0,0,0,"Tropical Zona Equatorial, quente - média > 18° C em todos os meses, úmido 3 meses secos","MULTIPOLYGON (((-46.6624 -0.8445999999999999, -46.6682 -0.8144, -46.653 -0.8098, -46.623799999999996 -0.8441, -46.61619999999999 -0.8694, -46.634699999999995 -0.8722, -46.6624 -0.8445999999999999)))"
ClimadoBrasil_5000.3,2916,ilha,0,0,0,"Tropical Zona Equatorial, quente - média > 18° C em todos os meses, úmido 3 meses secos","MULTIPOLYGON (((-45.993599999999994 -1.0924, -45.9858 -1.0541999999999998, -45.974 -1.0529, -45.96659999999999 -1.0881999999999998, -45.9554 -1.1069, -45.96789999999999 -1.1331999999999998, -45.986399999999996 -1.1343999999999999, -45.99739999999999 -1.1106999999999998, -45.993599999999994 -1.0924)))"
ClimadoBrasil_5000.4,2917,ilha,0,0,0,"Tropical Zona Equatorial, quente - média > 18° C em todos os meses, úmido 3 meses secos","MULTIPOLYGON (((-45.869699999999995 -1.1009, -45.867 -1.0658999999999998, -45.85359999999999 -1.0663, -45.83899999999999 -1.0834, -45.8376 -1.0951, -45.851499999999994 -1.1097, -45.8538 -1.133, -45.862399999999994 -1.1410999999999998, -45.88549999999999 -1.1272, -45.869699999999995 -1.1009)))"
ClimadoBrasil_5000.5,2667,ilha,0,0,0,"Tropical Zona Equatorial, quente - média > 18° C em todos os meses, úmido 3 meses secos","MULTIPOLYGON (((-45.567299999999996 -1.206, -45.5539 -1.2063, -45.537699999999994 -1.2268, -45.5381 -1.2400999999999998, -45.55 -1.2465, -45.57169999999999 -1.2426, -45.5821 -1.2539999999999998, -45.5956 -1.2552999999999999, -45.593399999999995 -1.2369999999999999, -45.567299999999996 -1.206)))"
ClimadoBrasil_5000.6,2666,ilha,0,0,0,"Tropical Zona Equatorial, quente - média > 18° C em todos os meses, úmido 3 meses secos","MULTIPOLYGON (((-45.381299999999996 -1.3927999999999998, -45.38249999999999 -1.3777, -45.3703 -1.3580999999999999, -45.3743 -1.3229, -45.367399999999996 -1.3148, -45.349 -1.3153, -45.3181 -1.3527999999999998, -45.3242 -1.3893, -45.2983 -1.4249999999999998, -45.30389999999999 -1.4465, -45.3531 -1.4686, -45.3898 -1.4575999999999998, -45.3959 -1.4357, -45.376599999999996 -1.4045999999999998, -45.381299999999996 -1.3927999999999998)))"
ClimadoBrasil_5000.7,2918,ilha,0,0,0,"Equatorial, quente - média > 18° C em todos os meses, úmido 3 meses secos","MULTIPOLYGON (((-45.120599999999996 -1.4281, -45.11259999999999 -1.3832999999999998, -45.1042 -1.3801999999999999, -45.09439999999999 -1.3903999999999999, -45.0952 -1.4221, -45.1067 -1.4750999999999999, -45.1185 -1.4764, -45.1217 -1.4697, -45.120599999999996 -1.4281)))"
ClimadoBrasil_5000.8,2920,ilha,0,0,0,"Equatorial, quente - média > 18° C em todos os meses, úmido 3 meses secos","MULTIPOLYGON (((-45.2765 -1.6738999999999997, -45.2589 -1.6426999999999998, -45.247099999999996 -1.6429999999999998, -45.2499 -1.6829999999999998, -45.2688 -1.7025, -45.2925 -1.7085, -45.297399999999996 -1.7050999999999998, -45.2938 -1.6967999999999999, -45.2765 -1.6738999999999997)))"
ClimadoBrasil_5000.9,2919,ilha,0,0,0,"Equatorial, quente - média > 18° C em todos os meses, úmido 3 meses secos","MULTIPOLYGON (((-45.3366 -1.6657, -45.32339999999999 -1.6094, -45.3032 -1.6065999999999998, -45.2908 -1.6435999999999997, -45.3112 -1.6563999999999999, -45.31079999999999 -1.7031, -45.318 -1.7212, -45.331599999999995 -1.7291999999999998, -45.3382 -1.724, -45.3366 -1.6657)))"
ClimadoBrasil_5000.10,2662,ilha,0,0,0,"Equatorial, quente - média > 18° C em todos os meses, úmido 3 meses secos","MULTIPOLYGON (((-44.4982 -2.4838999999999998, -44.49399999999999 -2.4491, -44.4854 -2.4393, -44.4601 -2.4349, -44.446799999999996 -2.4419, -44.4323 -2.4654999999999996, -44.456399999999995 -2.4932, -44.4723 -2.5261, -44.4842 -2.5324999999999998, -44.5011 -2.5353999999999997, -44.510999999999996 -2.5269, -44.4982 -2.4838999999999998)))"
ClimadoBrasil_5000.11,2835,ilha,0,0,0,"Tropical Zona Equatorial, quente - média > 18° C em todos os meses, úmido 3 meses secos","MULTIPOLYGON (((-34.8851 -7.6640999999999995, -34.8854 -7.6400999999999994, -34.8786 -7.6417, -34.875 -7.6591999999999985, -34.878299999999996 -7.668799999999999, -34.8851 -7.6640999999999995)))"
ClimadoBrasil_5000.12,2836,ilha,0,0,0,"Tropical Zona Equatorial, quente - média > 18° C em todos os meses, úmido 3 meses secos","MULTIPOLYGON (((-34.8788 -7.7519, -34.869099999999996 -7.7214, -34.849 -7.7068, -34.8485 -7.740299999999999, -34.8681 -7.7885, -34.87649999999999 -7.7982, -34.888299999999994 -7.796799999999999, -34.8788 -7.7519)))"
ClimadoBrasil_5000.13,2913,ilha,0,0,0,"Equatorial, quente - média > 18° C em todos os meses, úmido 3 meses secos","MULTIPOLYGON (((-36.995799999999996 -10.796199999999999, -36.986 -10.7782, -36.9343 -10.7301, -36.901999999999994 -10.726099999999999, -36.900099999999995 -10.7357, -36.910000000000004 -10.7473, -36.9721 -10.790799999999999, -36.9997 -10.8464, -37.022999999999996 -10.869599999999998, -37.0417 -10.871699999999999, -37.0439 -10.850699999999998, -36.995799999999996 -10.796199999999999)))"
ClimadoBrasil_5000.14,2914,ilha,0,0,0,"Tropical Nordeste Oriental, quente - média > 18° C em todos os meses, super-úmido sem seca","MULTIPOLYGON (((-38.830999999999996 -13.089899999999998, -38.8191 -13.083099999999998, -38.8069 -13.0893, -38.8231 -13.1207, -38.854499999999994 -13.1085, -38.851499999999994 -13.093799999999998, -38.830999999999996 -13.089899999999998)))"
ClimadoBrasil_5000.15,518,ilha,0,0,0,"Tropical Brasil Central, quente - média > 18° C em todos os meses, úmido 1 a 2 meses secos","MULTIPOLYGON (((-43.232 -22.755699999999997, -43.2109 -22.74, -43.1963 -22.7411, -43.1902 -22.795599999999997, -43.202799999999996 -22.7977, -43.227199999999996 -22.782099999999996, -43.26389999999999 -22.775199999999998, -43.2592 -22.758399999999998, -43.232 -22.755699999999997)))"
ClimadoBrasil_5000.16,2819,ilha,0,0,0,"Temperado, subquente - média entre 15 e 18 ° C em pelo menos 1 mês, super-úmido sem seca","MULTIPOLYGON (((-47.69149999999999 -24.8251, -47.647499999999994 -24.805999999999997, -47.609399999999994 -24.768599999999996, -47.5618 -24.7445, -47.4719 -24.7163, -47.47709999999999 -24.733099999999997, -47.5995 -24.8036, -47.6615 -24.8497, -47.7656 -24.9199, -47.8838 -25.043799999999997, -47.89469999999999 -25.050599999999996, -47.903999999999996 -25.0474, -47.9008 -25.0172, -47.8503 -24.9361, -47.8339 -24.9225, -47.7806 -24.903299999999998, -47.7553 -24.872799999999998, -47.7241 -24.860699999999998, -47.69149999999999 -24.8251)))"
