FID,mslink,zona,tp_umidade,distr_umid,temperatur,desc_compl,the_geom
ClimadoBrasil_5000.1,2663,Massa d'água,,,,"Equatorial, quente - média > 18° C em todos os meses, úmido 3 meses secos",-44.9878 -1.3565999999999998
ClimadoBrasil_5000.2,2915,ilha,,,,"Tropical Zona Equatorial, quente - média > 18° C em todos os meses, úmido 3 meses secos",-46.6624 -0.8445999999999999
ClimadoBrasil_5000.3,2916,ilha,,,,"Tropical Zona Equatorial, quente - média > 18° C em todos os meses, úmido 3 meses secos",-45.993599999999994 -1.0924
ClimadoBrasil_5000.4,2917,ilha,,,,"Tropical Zona Equatorial, quente - média > 18° C em todos os meses, úmido 3 meses secos",-45.869699999999995 -1.1009
ClimadoBrasil_5000.5,2667,ilha,,,,"Tropical Zona Equatorial, quente - média > 18° C em todos os meses, úmido 3 meses secos",-45.567299999999996 -1.206
ClimadoBrasil_5000.6,2666,ilha,,,,"Tropical Zona Equatorial, quente - média > 18° C em todos os meses, úmido 3 meses secos",-45.381299999999996 -1.3927999999999998
ClimadoBrasil_5000.7,2918,ilha,,,,"Equatorial, quente - média > 18° C em todos os meses, úmido 3 meses secos",-45.120599999999996 -1.4281
ClimadoBrasil_5000.8,2920,ilha,,,,"Equatorial, quente - média > 18° C em todos os meses, úmido 3 meses secos",-45.2765 -1.6738999999999997
ClimadoBrasil_5000.9,2919,ilha,,,,"Equatorial, quente - média > 18° C em todos os meses, úmido 3 meses secos",-45.3366 -1.6657
ClimadoBrasil_5000.10,2662,ilha,,,,"Equatorial, quente - média > 18° C em todos os meses, úmido 3 meses secos",-44.4982 -2.4838999999999998
ClimadoBrasil_5000.11,2835,ilha,,,,"Tropical Zona Equatorial, quente - média > 18° C em todos os meses, úmido 3 meses secos",-34.8851 -7.6640999999999995
ClimadoBrasil_5000.12,2836,ilha,,,,"Tropical Zona Equatorial, quente - média > 18° C em todos os meses, úmido 3 meses secos",-34.8788 -7.7519
ClimadoBrasil_5000.13,2913,ilha,,,,"Equatorial, quente - média > 18° C em todos os meses, úmido 3 meses secos",-36.995799999999996 -10.796199999999999
ClimadoBrasil_5000.14,2914,ilha,,,,"Tropical Nordeste Oriental, quente - média > 18° C em todos os meses, super-úmido sem seca",-38.830999999999996 -13.089899999999998
ClimadoBrasil_5000.15,518,ilha,,,,"Tropical Brasil Central, quente - média > 18° C em todos os meses, úmido 1 a 2 meses secos",-43.232 -22.755699999999997
ClimadoBrasil_5000.16,2819,ilha,,,,"Temperado, subquente - média entre 15 e 18 ° C em pelo menos 1 mês, super-úmido sem seca",-47.69149999999999 -24.8251
ClimadoBrasil_5000.17,2822,ilha,,,,"Temperado, subquente - média entre 15 e 18 ° C em pelo menos 1 mês, super-úmido sem seca",-48.3561 -25.434799999999996
ClimadoBrasil_5000.18,2823,ilha,,,,"Temperado, subquente - média entre 15 e 18 ° C em pelo menos 1 mês, super-úmido sem seca",-48.328199999999995 -25.581999999999997
ClimadoBrasil_5000.90,0,Tropical Brasil Central,úmido,3 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, úmido 3 meses secos",-53.29535770834811 -16.596624767862533
ClimadoBrasil_5000.83,0,Tropical Brasil Central,úmido,1 a 2 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, úmido 1 a 2 meses secos",-43.7020662202826 -23.036907791469527
ClimadoBrasil_5000.19,0,Zona Econômica Exclusiva,,,,Massa d'água,-49.3846 7.051799999999999
ClimadoBrasil_5000.30,0,Zona Econômica Exclusiva,,,,Massa d'água,-36.03039999999999 -4.647099999999999
ClimadoBrasil_5000.414,557,Massa d'água,,,,Massa d'água,-53.9646 -2.2430999999999996
ClimadoBrasil_5000.101,0,Tropical Brasil Central,semi-úmido,4 a 5 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, semi-úmido 4 a 5 meses secos",-38.91653771834381 -10.040574588530141
ClimadoBrasil_5000.136,0,Tropical Brasil Central,úmido,1 a 2 meses secos,subquente - média entre 15 e 18 ° em pelo menos 1 mês,"Tropical Brasil Central, subquente - média entre 15 e 18 ° C em pelo menos 1 mês, úmido 1 a 2 meses secos",-53.35743222566015 -19.109907508128938
ClimadoBrasil_5000.20,0,Zona Econômica Exclusiva,,,,Massa d'água,-51.3572 4.8266
ClimadoBrasil_5000.21,0,Zona Econômica Exclusiva ,,,,Massa d'água,-51.49679999999999 4.6677
ClimadoBrasil_5000.22,0,Zona Econômica Exclusiva,,,,Massa d'água,-51.5999 4.4605999999999995
ClimadoBrasil_5000.91,0,Tropical Brasil Central,úmido,3 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, úmido 3 meses secos",-48.35143855930433 -21.07629753780629
ClimadoBrasil_5000.56,0,Equatorial,super-úmido,subseca,subquente - média entre 15 e 18 ° em pelo menos 1 mês,"Equatorial, subquente - média entre 15 e 18 ° C em pelo menos 1 mês, super-úmido subseca",-65.8933769686374 0.8627446944633627
